,rating
0,9
1,9
2,8
3,8
4,8
5,8
6,8
7,8
8,9
9,9
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,7
21,8
22,8
23,8
24,9
25,8
26,8
27,8
28,8
29,8
30,7
31,8
32,9
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,7
47,7
48,8
49,8
50,8
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,8
59,8
60,7
61,8
62,8
63,8
64,8
65,8
66,7
67,8
68,8
69,8
70,8
71,8
72,7
73,7
74,8
75,8
76,8
77,8
78,7
79,8
80,8
81,7
82,8
83,8
84,7
85,7
86,8
87,8
88,8
89,8
90,7
91,6
92,8
93,7
94,8
95,7
96,7
97,8
98,7
99,7
100,6
101,7
102,7
103,8
104,7
105,7
106,8
107,6
108,8
109,7
110,8
111,8
112,8
113,7
114,8
115,7
116,8
117,8
118,8
119,8
120,7
121,7
122,8
123,7
124,8
125,7
126,8
127,8
128,6
129,7
130,8
131,8
132,8
133,8
134,8
135,7
136,8
137,7
138,6
139,8
140,8
141,7
142,7
143,7
144,8
145,7
146,7
147,6
148,8
149,9
150,7
151,7
152,7
153,8
154,8
155,7
156,7
157,8
158,7
159,7
160,7
161,8
162,8
163,7
164,8
165,7
166,7
167,8
168,7
169,6
170,8
171,8
172,7
173,8
174,6
175,8
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,8
184,8
185,7
186,8
187,7
188,7
189,7
190,7
191,7
192,7
193,7
194,8
195,7
196,7
197,7
198,7
199,7
200,7
201,7
202,8
203,6
204,8
205,6
206,8
207,7
208,7
209,6
210,7
211,7
212,6
213,7
214,8
215,8
216,6
217,7
218,6
219,7
220,7
221,6
222,7
223,7
224,7
225,7
226,7
227,6
228,7
229,8
230,7
231,8
232,7
233,6
234,7
235,8
236,8
237,6
238,5
239,7
240,6
241,7
242,8
243,8
244,6
245,7
246,7
247,7
248,8
249,6
250,7
251,6
252,6
253,8
254,6
255,7
256,8
257,6
258,7
259,7
260,7
261,7
262,6
263,6
264,6
265,6
266,7
267,7
268,7
269,7
270,5
271,6
272,7
273,7
274,6
275,6
276,7
277,8
278,7
279,7
280,7
281,7
282,7
283,8
284,7
285,7
286,6
287,7
288,7
289,8
290,7
291,7
